BCYRN1
DNM3OS
H19
LSINCT5
PVT1
SRA1
AB073614
ANRIL
BC200
CCAT1
CCAT2
GAS5
HOST2
HOTAIR
HOXA11-AS
LINC00515
LINC00961
LINC-CARS2-2
LINC-TNFRSF19-1
LIN-RECK-3
LOC100128881
LOC100292680
LUCAT1
MALAT1
MNX1-AS1
NEAT1
OVAL
P15INK4B
TC1500845
UCA1
XIST
BC1
NEAT-1
P53
SRA
SLTM
PITX2
IL1B
NR3C1
TP53
MDM4
CDH1
PADI4
TBC1D9
VTN
FGF2
IL1A
INHBA
IFNAR1
VASH2
RNMT
HMGA1
SPARC
CXCR4
CHPT1
SDC1
FZR1
IFNA13
IFNA1
DCC
ABCB1
F9
CCL2
ICAM1
CXCL12
TRPC4
ARHGAP24
ABCF2
RFWD2
ABCC1
HEY
TRPC6
PCNA
PSEN1
TSC1
BCL2
TBC1D8
DHDDS
SKP2
GULP1
PHB
CARD16
MSH3
HCN1
NEURL1
PTGS2
MLH1
ZEB2
GRIA2
NEU1
POLG
BRCA1
ERBB2
MET
C10orf2
TP73
ACPP
YAP1
CHKA
CCND1
SYCE1L
PSEN2
HK2
MRPL23
CYP2C8
CHST15
SMEK1
FPR2
IL22
KCNH2
AGTR1
CTSL
CD164
ABCC5
TICAM2
TRIM13
ATRX
LRPPRC
MIR205
MTA3
MIR183
CS
CSF1
FGFRL1
TUBB3
WWP2
RPS6KB1
RAD52
TCHP
IKBKAP
VPS51
AMH
CLDN1
RIPK3
MIR155HG
PAK2
FZD1
SOX1
ABCB4
CD47
THOC1
SYNE1
SPINT1
GALNT1
CD55
HTRA2
NOS2
INHBE
MUC2
MAP3K7
VHL
TMSB10
GDF15
SMAD1
MIR21
ACVR1
ALOX15
RUVBL1
FGFBP2
RARB
PNPLA2
TSG101
HSF1
TLR9
MIR211
TNFRSF21
FGF13
NRIP1
MIR655
HTC2
SETD2
DPP8
E2F3
ABCB6
LECT1
TM7SF2
EPB41L3
EFNA1
GDNF
VPRBP
PTPN5
ANGPTL4
IL7
BIRC3
FCN3
PRLR
UCMA
DNAJC15
DCLRE1C
TNFRSF1A
MPO
FGF8
IL1RN
MYO1C
ATOX1
HNF1B
EPHB4
GNRHR
BIRC7
RASAL2
LIN28A
AGT
GLB1
DCTN6
CTNNA1
DGCR8
GH1
PRH2
PCDHA@
SNCG
BUB1
HLA-DQB1
RPL13A
AKR1B1
SOHLH2
SFN
PEG3
CDT1
MUC5AC
ATAT1
ERVK-18
GLI2
GPR55
DST
JAG1
TOPBP1
CST2
TRIM42
FBXO32
ACKR3
STIM1
S100A1
PDGFRB
EREG
DPP4
SMAD4
CABIN1
BACH2
DNAH8
PES1
IRAK1
CSF2
MIRLET7A3
MIR212
MARK2
RAB31
TFRC
NF1
FGFR2
SLC5A5
PAX5
ARTN
DPYD
NLRP2
PDXP
NELL2
HAS3
GPR68
ITGB1
DDX58
CTCFL
MSH2
HELQ
NTRK2
MAPK9
HPRT1
HSPB3
CTNND1
SRPK1
MTOR
GGCT
REST
SWAP70
ADH4
SOCS2
KLK7
CALCR
CX3CR1
KLF6
VEGFA
NBN
CD83
COX2
MIR152
DVL1P1
BCAR1
HOXC6
CRYAB
CRHR1
RBBP8
DSC2
AGO2
STMN1
OXA1L
ABCA1
ZBTB16
NCOA4
ALX1
CCL21
MIR100
MMVP1
IL2RA
IQGAP1
STIP1
RPSA
LRPAP1
ADRA2B
IBSP
KLK3
ETV6
ADRA1A
MUC3B
FGF1
BAD
IL6R
GJA8
LHCGR
CDX2
GSTM2
PPT1
SIK2
ITGAM
EML4
CNN1
IL13
MBL2
PTAFR
MUC3
PRSS1
RAB22A
DDC
USP15
MIR27A
TGFBI
RECK
DESI2
TLR1
CCBE1
NKX2-1
EEF1B2P2
TWIST1
IL24
STAG1
KLF11
S100A14
SFRP5
DNA2
KDR
PPP1R2P9
RASSF1
FOS
TNS1
USP36
MMP3
PTK2
HDAC7
SLC7A1
SOX11
NEDD8
EBAG9
HSD17B13
NME2
MIB1
TGFBR3
ASPM
RAD51C
ERVK-12
ACACA
PTBP2
GNPDA1
APAF1
NEDD9
RHBDF2
OPN1LW
HDAC4
FBN3
TNF
RAB35
ABCA2
LEPQTL1
MIR378A
DDB2
SIRT7
SOX17
STAT5B
LGALS3
ARID4B
PKN2
UCHL1
CALR
CPOX
PDC
PRKCZ
CYP2B6
MED1
PSG2
TIMM8A
MIRLET7B
ALDH1A1
SMAD6
SPARCL1
ADAM19
EIF4E
IL4
AD5
PSMG1
MKL1
RGPD2
DUSP3
IL15
OBP2A
EGFR
STS
DDB1
NES
PIAS2
CLIC3
CTAG1B
MAGI1
CGB5
LRIG1
SPRY1
CXCR6
PCDH9
CGB8
TRB
PRSS8
DCAF7
RAP1B
CD247
BAK1
IFI27
HOXA11
EMILIN1
BCL2L11
HOXD10
MUC17
CTGF
NCOA3
PRF1
CHP2
CTSB
PDCD6
DNAJB11
THBS2
KLK5
CHD4
AD12
PRKCA
PRRT2
PLAG1
NR1I3
IL31RA
RHOD
ILF3
NFKBIB
MIR29A
ADAMTSL4
TCF7L2
BAP1
BCL2L12
GATA6
CD3E
SERPINA2
PRKAB1
TP53BP1
PIM2
SIX1
BEX4
E2F1
MIR191
IL16
SEMG1
DDIT4
PIK3C3
CYP1B1
MDK
CASP3
HDAC9
ESRRA
MVD
CCR2
RAN
EIF5A2
PYCARD
DLL4
CUX1
LIFR
LMX1A
NMI
MEFV
FGFR1
TMPRSS4
LOC102724023
DKK1
SERPINB3
COASY
PARK2
ANXA2
PCDHA1
AHR
MST1R
CTBP2
ZNF398
RHOC
RBP1
DSC3
MAPK10
TGFBR1
MIR31
PTEN
PRICKLE4
NFKB1
XPC
PKN1
UBR5
TLX2
ADAM17
BRAF
CCL25
GDF2
PIGF
APOA1
ANKRD1
HOXA10
CXCL1
ADIPOR1
GSTT1
GLI1
CAPN5
CXCL8
LTBR
DIABLO
ETV5
KLRK1
MIR187
SEMA6A
BDH2
FRA6E
STAR
CHAF1A
GIT1
ANAPC2
PLA2G2A
DAXX
DNAJC14
NR1I2
RAI14
BECN1
CYP3A4
FILIP1L
FLI1
TERF2IP
TCEAL7
PIGW
ID2
NEUROD1
TAZ
KRT88P
CDK7
ATP7B
AGR2
MSH6
CXADRP1
RASSF7
NXPH2
ID3
ZNF645
SHMT1
PMS2
CDKN3
LMX1B
FOSB
CNKSR1
PIK3CG
KRT9
CASC15
COX8A
ERCC6
NUDCD1
PTP4A3
YES1
NR5A1
ADH1B
ZMYND10
PML
RPH3AL
MIR491
NOVA2
CDKN2A
PTCH1
FN1
CCR9
GABPA
PAGR1
RNF19A
PRB2
ALCAM
WWTR1
SLCO6A1
ISG20
ZIC1
MIR10B
MVP
MAP3K5
TNFRSF6B
ZNF365
CSF1R
CDK2
CSK
RANBP3
NOTCH3
TKT
DIRAS3
BLM
MIR27B
FGF16
PDCD5
EPHB2
HLA-G
UGT1A1
CDKN1A
MMP14
SOS1
GRAP2
SPINT2
FOXO1
S100A4
BCAT2
TIMP2
NELFE
ABCA4
GAS6
DAPK1
EPS8
AQP5
MIR185
RAD51B
SCLC1
HPR
AZIN2
SKAP1
MAD2L1
COX1
APRT
NUP214
COL4A3BP
MTDH
ATP7A
MIR130B
MBD2
STAT1
STK11
IGBP1
PPP2R1A
MUC13
MMAB
KLK13
SERPINB5
SSSCA1
DDX5
PTPRA
ST6GAL1
HMGB1
WNT5A
FGF4
PGK1
MMP2
CDH13
PLAU
MMP8
ROCK1
ALOX5
MIR939
CAMKMT
G6PC
ASS1
GHRH
KL
PPP3CA
HYAL1
PCDHA4
HSPE1
RNASEK
GCNT2
DTL
CHFR
CDKN2D
PROM1
SALL2
MOS
CCNB1
LAMC2
SEMA3B
BCHE
FRAT1
NEK11
MIR155
CD34
MAP3K3
MAP3K1
HIF1A
DUSP2
KCNK1
LBX1
ERVW-1
GSTM1
FRA9E
SERPINA5
UPP1
EIF3A
FLT1
EP300
DAAM1
PEBP1
KLK10
OXT
NAMPT
DNAJA2
POLH
EPHA2
FAP
IGF1
SLC16A11
MIR222
