ACTA2-AS1
HOTAIR
MALAT1
AC004166.7
AC079776.2
CTA-363E6.2
DLX6-AS1
ENST00000434223
ENST00000442037
ENST00000540136
GAS5
HNF1A-AS1
LINC01207
LOC100132354
LOC100499405
LOC440905
LUADT1
MEG3
NR_034174
NR_038125
NR_047562
RGMB-AS1
RP11-1C1.7
RP11-325I22.2
RP11-445K13.2
RP11-473M20.11
RP11-893F2.6
RP11-909N17.3
RP13-514E23.1
RP1-90D4.3
RP4-575N6.5
RP5-826L7.1
RPLP0P2
UC001GCH.1
UC001GZL.3
UC004BBL.1
XLOC_003286
XLOC_003405
XLOC_012255
ZNF295-AS1
ZXF1
BCYRN1
H19
LINCRNA-P21
MINA
LOC728228
AF118081
AFAP1-AS1
BANCR
BC200
LCAL1
LINC00473
LINC00857
LINC-CBR1-2
LNC-BC060912
LNCRNA-DQ786227
LSINCT1
LSINCT10
LSINCT11
LSINCT12
LSINCT2
LSINCT3
LSINCT4
LSINCT5
LSINCT6
LSINCT7
LSINCT8
LSINCT9
MA-LINC1
NRG1
SCAL1
UC001LSZ
UCA1
ZNRD1-AS1
ANRIL
HY1
HY3
LINC01133
AC006050.3-003
LNCRNA-LET
SOX2OT
DRAIC
PCAT29
EGFR
VEGFA
ENO1
ANGPTL1
MIR21
SP1
HDAC1
GAPDH
CHRNA3
CHRNA5
KRAS
CYP2A6
CAMP
PLF
FLCN
IL7R
CCR5
CCL2
HLA-DPB1
IL33
PRKDC
GSN
PRTN3
CCR1
NLRP3
NKX2-1
HTR4
EDN1
AGER
LPAR6
DYM
NR3C1
MYLK
F2R
CCL18
TRAF1
IL1A
CTSG
KLK3
MAPK3
IL4
IL12B
HLA-A
AREG
ELANE
EGF
PPARG
CXCL10
NQO1
TSLP
DDR1
SSB
F2
IL1RN
CXCL2
OSCAR
CRISPLD2
CSF3
ABO
VCAN
CXCL1
EDNRA
KIT
PLA2G1B
INTS12
RUNX1
NOS3
MUC5AC
STC1
EGR1
CXCR6
SCLC1
CTGF
PWAR1
CD274
SFTPA1
